age,gender,booking_status,quota,coach_type,booking_time,travel_distance,waiting_list_number,seat_preference,berth_type
56,M,RAC,GN,2AC,14,1230,8,SL,SL
38,M,CNF,GN,2AC,18,1338,0,LB,LB
28,M,CNF,LD,3AC,20,1223,0,LB,LB
57,M,RAC,GN,SL,21,1432,2,UB,SL
41,M,RAC,LD,2AC,5,485,1,NA,SL
29,F,RAC,LD,3AC,11,956,17,LB,SL
44,F,RAC,TQ,3AC,9,1599,16,UB,SL
32,F,CNF,GN,SL,14,1057,0,NA,MB
68,F,CNF,TQ,2AC,19,931,0,SL,LB
20,M,WL,LD,3AC,6,120,9,LB,SU
56,M,CNF,LD,3AC,13,341,0,SL,LB
26,M,CNF,LD,SL,1,1463,0,LB,LB
45,M,CNF,TQ,SL,6,1551,0,UB,UB
25,M,CNF,TQ,3AC,13,1204,0,NA,SL
53,M,CNF,TQ,3AC,3,1125,0,UB,LB
23,F,CNF,LD,2AC,3,1945,0,LB,LB
46,M,WL,LD,2AC,11,261,10,UB,SL
53,F,CNF,TQ,3AC,15,1394,0,UB,LB
25,F,CNF,GN,SL,7,1848,0,LB,LB
33,F,RAC,TQ,3AC,14,1176,13,LB,SL
58,F,CNF,GN,2AC,12,164,0,NA,LB
42,F,WL,LD,3AC,23,1252,12,UB,SU
25,M,CNF,GN,2AC,10,1622,0,SL,SL
34,F,RAC,TQ,SL,2,388,5,UB,SU
59,M,CNF,GN,SL,8,1151,0,UB,LB
24,M,WL,LD,3AC,11,1029,1,LB,SU
65,F,CNF,LD,3AC,23,904,0,SL,LB
52,M,CNF,LD,2AC,21,1670,0,LB,LB
18,F,CNF,LD,3AC,14,1585,0,LB,LB
20,F,RAC,TQ,SL,22,866,14,NA,SL
56,F,CNF,LD,SL,14,1138,0,LB,LB
43,F,CNF,LD,2AC,12,1814,0,UB,UB
49,M,RAC,TQ,SL,19,1120,4,LB,SU
47,F,CNF,GN,SL,6,848,0,SL,SL
32,M,RAC,GN,SL,3,624,7,LB,SL
68,F,CNF,GN,2AC,1,781,0,UB,LB
62,M,CNF,LD,3AC,20,745,0,UB,LB
45,F,RAC,LD,2AC,11,1463,11,NA,SL
45,M,CNF,LD,3AC,0,1508,0,NA,SL
44,F,CNF,LD,3AC,19,1072,0,LB,LB
58,M,CNF,GN,SL,5,1579,0,SL,LB
44,M,CNF,LD,2AC,4,1348,0,UB,UB
68,M,CNF,GN,SL,23,1950,0,LB,LB
